StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
Ohio,OH,District,No,,,,,North Fork Local,Regular local school district,3904802,048025,1500,Weekly,2/10/21,2/16/21,In-person,,,,5-Day In-Person,,,,,,,,
Ohio,OH,District,No,,,,,North Fork Local,Regular local school district,3904802,048025,1500,Weekly,2/17/21,2/22/21,In-person,,,,5-Day In-Person,,,,,,,,
Ohio,OH,District,No,,,,,North Fork Local,Regular local school district,3904802,048025,1500,Weekly,2/23/21,3/2/21,In-person,,,,5-Day In-Person,,,,,,,,
Ohio,OH,District,No,,,,,North Fork Local,Regular local school district,3904802,048025,1500,Weekly,3/3/21,3/9/21,In-person,,,,5-Day In-Person,,,,,,,,
Ohio,OH,District,No,,,,,North Fork Local,Regular local school district,3904802,048025,1500,Weekly,3/10/21,3/16/21,In-person,,,,5-Day In-Person,,,,,,,,
Ohio,OH,District,No,,,,,North Fork Local,Regular local school district,3904802,048025,1500,Weekly,3/17/21,3/23/21,In-person,,,,5-Day In-Person,,,,,,,,
Ohio,OH,District,No,,,,,North Fork Local,Regular local school district,3904802,048025,1500,Weekly,3/24/21,3/30/21,In-person,,,,5-Day In-Person,,,,,,,,
Ohio,OH,District,No,,,,,North Fork Local,Regular local school district,3904802,048025,1500,Weekly,3/31/21,4/6/21,In-person,,,,5-Day In-Person,,,,,,,,
Ohio,OH,District,No,,,,,North Fork Local,Regular local school district,3904802,048025,1500,Weekly,4/7/21,4/13/21,In-person,,,,5-Day In-Person,,,,,,,,
Ohio,OH,District,No,,,,,North Fork Local,Regular local school district,3904802,048025,1500,Weekly,4/14/21,4/20/21,In-person,,,,5-Day In-Person,,,,,,,,
Ohio,OH,District,No,,,,,North Fork Local,Regular local school district,3904802,048025,1500,Weekly,4/21/21,4/27/21,In-person,,,,5-Day In-Person,,,,,,,,
Ohio,OH,District,No,,,,,North Fork Local,Regular local school district,3904802,048025,1500,Weekly,4/28/21,5/4/21,In-person,,,,5-Day In-Person,,,,,,,,
Ohio,OH,District,No,,,,,North Fork Local,Regular local school district,3904802,048025,1500,Weekly,5/5/21,5/11/21,In-person,,,,5-Day In-Person,,,,,,,,
Ohio,OH,District,No,,,,,North Fork Local,Regular local school district,3904802,048025,1500,Weekly,5/12/21,5/18/21,In-person,,,,5-Day In-Person,,,,,,,,
Ohio,OH,District,No,,,,,North Fork Local,Regular local school district,3904802,048025,1500,Weekly,5/19/21,5/26/21,In-person,,,,5-Day In-Person,,,,,,,,
Ohio,OH,District,No,,,,,North Olmsted City,Regular local school district,3904452,044529,3551,Biweekly,8/6/20,8/19/20,Virtual,,,,Fully Remote,,,,,,,,
Ohio,OH,District,No,,,,,North Olmsted City,Regular local school district,3904452,044529,3551,Weekly,8/20/20,8/26/20,Virtual,,,,Fully Remote,,,,,,,,
Ohio,OH,District,No,,,,,North Olmsted City,Regular local school district,3904452,044529,3551,Weekly,8/27/20,9/2/20,Virtual,,,,Fully Remote,,,,,,,,
Ohio,OH,District,No,,,,,North Olmsted City,Regular local school district,3904452,044529,3551,Weekly,9/3/20,9/9/20,Virtual,,,,Fully Remote,,,,,,,,
Ohio,OH,District,No,,,,,North Olmsted City,Regular local school district,3904452,044529,3551,Weekly,9/10/20,9/16/20,Virtual,,,,Fully Remote,,,,,,,,
Ohio,OH,District,No,,,,,North Olmsted City,Regular local school district,3904452,044529,3551,Weekly,9/17/20,9/23/20,Virtual,,,,Fully Remote,,,,,,,,
Ohio,OH,District,No,,,,,North Olmsted City,Regular local school district,3904452,044529,3551,Weekly,9/24/20,9/30/20,Virtual,,,,Fully Remote,,,,,,,,
Ohio,OH,District,No,,,,,North Olmsted City,Regular local school district,3904452,044529,3551,Weekly,10/1/20,10/7/20,Virtual,,,,Fully Remote,,,,,,,,
Ohio,OH,District,No,,,,,North Olmsted City,Regular local school district,3904452,044529,3551,Weekly,10/8/20,10/14/20,Virtual,,,,Fully Remote,,,,,,,,
Ohio,OH,District,No,,,,,North Olmsted City,Regular local school district,3904452,044529,3551,Weekly,10/15/20,10/21/20,Hybrid,,,,Hybrid,,,,,,,,
Ohio,OH,District,No,,,,,North Olmsted City,Regular local school district,3904452,044529,3551,Weekly,10/22/20,10/28/20,Hybrid,,,,Hybrid,,,,,,,,
Ohio,OH,District,No,,,,,North Olmsted City,Regular local school district,3904452,044529,3551,Weekly,10/29/20,11/4/20,Hybrid,,,,Hybrid,,,,,,,,
Ohio,OH,District,No,,,,,North Olmsted City,Regular local school district,3904452,044529,3551,Weekly,11/5/20,11/11/20,Hybrid,,,,Hybrid,,,,,,,,
Ohio,OH,District,No,,,,,North Olmsted City,Regular local school district,3904452,044529,3551,Weekly,11/12/20,11/19/20,Hybrid,,,,Hybrid,,,,,,,,
Ohio,OH,District,No,,,,,North Olmsted City,Regular local school district,3904452,044529,3551,Weekly,11/19/20,11/24/20,Hybrid,,,,Hybrid,,,,,,,,
Ohio,OH,District,No,,,,,North Olmsted City,Regular local school district,3904452,044529,3551,Weekly,11/25/20,12/2/20,Hybrid,,,,Hybrid,,,,,,,,
Ohio,OH,District,No,,,,,North Olmsted City,Regular local school district,3904452,044529,3551,Weekly,12/3/20,12/9/20,Virtual,,,,Fully Remote,,,,,,,,
Ohio,OH,District,No,,,,,North Olmsted City,Regular local school district,3904452,044529,3551,Weekly,12/10/20,12/16/20,Virtual,,,,Fully Remote,,,,,,,,
Ohio,OH,District,No,,,,,North Olmsted City,Regular local school district,3904452,044529,3551,Biweekly,12/17/20,1/6/21,Virtual,,,,Fully Remote,,,,,,,,
Ohio,OH,District,No,,,,,North Olmsted City,Regular local school district,3904452,044529,3551,Weekly,1/7/21,1/13/21,Virtual,,,,Fully Remote,,,,,,,,
Ohio,OH,District,No,,,,,North Olmsted City,Regular local school district,3904452,044529,3551,Weekly,1/14/21,1/20/21,Virtual,,,,Fully Remote,,,,,,,,
Ohio,OH,District,No,,,,,North Olmsted City,Regular local school district,3904452,044529,3551,Weekly,1/21/21,1/26/21,Virtual,,,,Fully Remote,,,,,,,,
Ohio,OH,District,No,,,,,North Olmsted City,Regular local school district,3904452,044529,3551,Weekly,1/27/21,2/3/21,Virtual,,,,Fully Remote,,,,,,,,
Ohio,OH,District,No,,,,,North Olmsted City,Regular local school district,3904452,044529,3551,Weekly,2/4/21,2/9/21,Hybrid,,,,Hybrid,,,,,,,,
